"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","3222","login test for standard_user","Data Driven Login","2026-03-26","failed","2026-03-26","","","",""
"","4023","login test for standard_user","Data Driven Login","2026-03-26","failed","2026-03-26","","","",""
"","8142","should complete checkout successfully","Checkout Flow","2026-03-26","passed","2026-03-26","","","",""
"","3022","should complete checkout successfully","Checkout Flow","2026-03-26","passed","2026-03-26","","","",""
"","2119","should successfully login with valid credentials","Login Page Feature","2026-03-26","passed","2026-03-26","","","",""
"","3135","login test for locked_out_user","Data Driven Login","2026-03-26","passed","2026-03-26","","","",""
"","378","should show an error with invalid credentials","Login Page Feature","2026-03-26","passed","2026-03-26","","","",""
"","6105","should successfully login with valid credentials","Login Page Feature","2026-03-26","passed","2026-03-26","","","",""
"","1944","login test for locked_out_user","Data Driven Login","2026-03-26","passed","2026-03-26","","","",""
"","431","should show an error with invalid credentials","Login Page Feature","2026-03-26","passed","2026-03-26","","","",""
